Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
11,Mindy,119,2109,56.4248459,10,,,
35,Lily,61,1113,54.80682839,11,,,
49,Chenna,34,627,54.22647528,12,,,
42,Mi Hung Lo,54,1002,53.89221557,13,,,
36,Aliss,59,1133,52.07413945,14,,,
18,Flight Feathers,96,1850,51.89189189,15,,,
10,Falafel,127,2485,51.10663984,16,,,
13,Kris,107,2122,50.42412818,17,,,
60,Dash Feathers,18,365,49.31506849,18,,,
12,Flappy Wingspan,109,2267,48.08116453,19,,,
43,roohby,51,1075,47.44186047,20,,,
46,The Real Meme,38,807,47.08798017,21,,,
28,Xax,73,1606,45.45454545,22,,,
24,Fury Silver,83,1827,45.42966612,23,,,
32,CJwoy,68,1530,44.44444444,24,,,
33,Wobbly Wings1,67,1737,38.57225101,25,,,
52,Notorious wingz,30,792,37.87878788,26,,,
65,Rush Schnitzel,12,317,37.85488959,27,,,
71,MeltedPeep,4,109,36.69724771,28,,,
67,Zoom Flocker,11,329,33.43465046,29,,,
25,Cubsontap,81,2451,33.04773562,30,,,
39,Lola awesome,57,1753,32.51568739,31,,,
70,Sebastin,6,218,27.52293578,32,,,
59,KELSO,19,696,27.29885057,33,,,
54,Bic,28,1058,26.46502836,34,,,
57,Snappy,23,899,25.5839822,35,,,
48,Babe,35,1433,24.42428472,36,,,
,,,,,,,,
,Played Totals,2677,52255,47.7308557,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Not Played Totals,0,0,0.00%,2677,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.81%,,,,
,,,,,,,,
,Not Played + Holding Pen,,428,#REF!,#REF!,<- Projected Score,,

---

Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
LOST,I Luv Bacon,U.S.,2607,2667,-2.30%,42322,41477,2.00%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
4,Eggy Strike,161,2152,74.81412639,1,,,
73,Birdman,12,161,74.53416149,2,,,
19,Xax,96,1366,70.27818448,3,,,
3,Ave Falcon,173,2465,70.18255578,4,,,
26,Pomelo,86,1250,68.8,5,,,
51,Notorious wingz,44,641,68.64274571,6,,,
2,Sparky,233,3443,67.67354052,7,,,
62,Chenna,26,392,66.32653061,8,,,
8,Bossy,147,2226,66.03773585,9,,,
15,Flight Feathers,99,1507,65.69343066,10,,,
24,Jake,90,1452,61.98347107,11,,,
44,The Real Meme,49,795,61.63522013,12,,,
43,Mi Hung Lo,49,840,58.33333333,13,,,
9,Jim Me,114,1969,57.89740985,14,,,
17,Fury Silver,98,1785,54.90196078,15,,,
40,Lily,57,1047,54.44126074,16,,,
74,MeltedPeep,7,132,53.03030303,17,,,
45,roohby,47,899,52.28031146,18,,,
30,CJwoy,76,1456,52.1978022,19,,,
25,Kris,90,1732,51.9630485,20,,,
49,Bic,45,870,51.72413793,21,,,
27,Wobbly Wings1,84,1625,51.69230769,22,,,
52,Snappy,42,817,51.40758874,23,,,
32,Lola awesome,73,1430,51.04895105,24,,,
13,Falafel,102,2006,50.84745763,25,,,
20,Flappy Wingspan,95,1891,50.23796933,26,,,
34,Flip,72,1441,49.96530187,27,,,
42,Aliss,49,986,49.69574037,28,,,
14,Cubsontap,100,2032,49.21259843,29,,,
18,Mindy,96,2061,46.57933042,30,,,
60,niners,28,699,40.05722461,31,,,
